brand,model,year,transmission,fuel,nb_of_doors,price,miles,engine(hp)
FIAT,Turbo 2013,2013,Manual,Gasoline,2,7787,30068,135
FIAT,Trekking 2014,2014,Automatic,Gasoline,4,5800,60968,160
FIAT,Salon Cabriolet 2013,2013,Automatic,Gasoline,2,7495,45660,101
FIAT,Sport 2012,2012,Automatic,Gasoline,2,4999,45903,101
FIAT,Sport 2013,2013,Automatic,Gasoline,2,5880,55958,101
FIAT,Abarth 2014,2014,Automatic,Gasoline,2,6999,47283,160
FIAT,Facile 2016,2016,Automatic,Gasoline,4,8995,43291,180
FIAT,Salon Cabriolet 2013,2013,Automatic,Gasoline,2,6995,45995,101
FIAT,Pop 2015,2015,Automatic,Gasoline,2,7950,19285,101
FIAT,Pop 2012,2012,Manual,Gasoline,2,6500,64762,101
FIAT,Pop 2012,2012,Automatic,Gasoline,2,3497,75761,101
FIAT,Spider Classique 2018,2018,Automatic,Gasoline,2,16918,13304,160
FIAT,Abarth 2013,2013,Manual,Gasoline,2,9995,67191,160
FIAT,500L Facile,2014,Automatic,Gasoline,4,5199,64863,160
FIAT,Pop 2012,2012,Automatic,Gasoline,2,6995,40681,101
FIAT,Sport 2013,2013,Automatic,Gasoline,2,7241,56785,101
FIAT,Sport 2012,2012,Automatic,Gasoline,2,7700,32639,101
FIAT,Salon 2012,2012,Automatic,Gasoline,2,5500,50614,101
FIAT,Salon Cabriolet 2015,2015,Automatic,Gasoline,2,7995,37465,101
FIAT,500X Salon TI,2016,Automatic,Gasoline,4,8999,62127,180
FIAT,Trekking 2017,2017,Automatic,Gasoline,4,8000,72041,180
FIAT,Trekking 2018,2018,Automatic,Gasoline,4,13900,30060,160
FIAT,Pop 2016,2016,Manual,Gasoline,4,7300,40595,160
FIAT,500X Trekking TI,2016,Automatic,Gasoline,4,9995,55139,180
FIAT,500 Abarth Hayon TA,2017,Manual,Gasoline,2,12771,34214,160
FIAT,500 Sport,2012,Automatic,Gasoline,2,3999,65290,101
FIAT,500L Trekking,2015,Automatic,Gasoline,4,5995,65758,160
FIAT,500 Pop Convertible,2012,Manual,Gasoline,2,8109,47181,101
FIAT,500 Abarth Convertible,2013,Manual,Gasoline,2,12500,26744,160
FIAT,500X Trekking,2016,Automatic,Gasoline,4,7500,54115,180
FIAT,500 Pop Convertible,2012,Manual,Gasoline,2,6800,50879,101
FIAT,500 Lounge Convertible,2012,Automatic,Gasoline,2,5997,62890,101
FIAT,124 Spider Classica,2019,Automatic,Gasoline,2,18999,13830,160
FIAT,500L Pop FWD,2019,Automatic,Gasoline,4,10980,59828,160
FIAT,500X Blue Sky Edition FWD,2018,Automatic,Gasoline,4,10999,29576,180
FIAT,500 Pop Hatchback FWD,2017,Manual,Gasoline,2,7739,41798,101
FIAT,500 Pop,2013,Manual,Gasoline,2,4390,59722,101
FIAT,500 Pop,2013,Manual,Gasoline,2,5999,51018,101
FIAT,500X Pop AWD,2018,Automatic,Gasoline,4,13566,16673,180
FIAT,500 Turbo,2013,Manual,Gasoline,2,5995,73946,135
FIAT,500 Pop,2013,Automatic,Gasoline,2,4995,54243,101
FIAT,500 Pop,2013,Manual,Gasoline,2,5500,44251,101
FIAT,500 Pop Convertible,2013,Automatic,Gasoline,2,5995,58111,101
FIAT,500X Trekking Plus AWD,2016,Automatic,Gasoline,4,11499,38880,180
FIAT,500L Pop,2015,Automatic,Gasoline,4,5937,53785,160
FIAT,500X Easy,2016,Automatic,Gasoline,4,6299,45004,180
FIAT,500L Trekking,2014,Manual,Gasoline,4,5999,52485,160
FIAT,500 Sport,2012,Manual,Gasoline,2,4703,71118,101
FIAT,500 Sport,2012,Automatic,Gasoline,2,5599,58851,101
FIAT,500 Pop,2012,Automatic,Gasoline,2,4499,66679,101
FIAT,500 Abarth Hatchback FWD,2017,Manual,Gasoline,2,10899,56783,160
FIAT,500X Lounge AWD,2018,Automatic,Gasoline,4,11995,51369,180
FIAT,500 Abarth,2012,Manual,Gasoline,2,7994,66650,160
FIAT,500 Sport,2012,Automatic,Gasoline,2,4995,69843,101
FIAT,500X Lounge AWD,2016,Automatic,Gasoline,4,8999,57541,180
FIAT,124 Spider Classica RWD,2017,Manual,Gasoline,2,15021,40528,160
FIAT,500 Pop Hatchback FWD,2018,Automatic,Gasoline,2,10995,30786,135
FIAT,500X Pop AWD,2017,Automatic,Gasoline,4,14999,32772,180
FIAT,124 Spider Elaborazione Abarth RWD,2017,Manual,Gasoline,2,19996,9706,164
FIAT,500 Abarth Convertible,2013,Manual,Gasoline,2,11499,28758,160
FIAT,500L Pop,2018,Automatic,Gasoline,4,13400,34009,160
FIAT,500 Sport,2012,Manual,Gasoline,2,5950,46603,101
FIAT,500L Trekking,2015,Automatic,Gasoline,4,6398,60894,160
FIAT,500L Lounge,2014,Automatic,Gasoline,4,7495,50114,160
FIAT,500X Pop AWD,2017,Automatic,Gasoline,4,15500,33840,180
FIAT,124 Spider Lusso RWD,2017,Automatic,Gasoline,2,15400,26719,160
FIAT,500X Lounge AWD,2016,Automatic,Gasoline,4,8495,53058,180
FIAT,124 Spider Lusso,2018,Automatic,Gasoline,2,19700,13333,160
FIAT,500X Lounge AWD,2016,Automatic,Gasoline,4,10900,46449,180
FIAT,124 Spider Lusso RWD,2017,Automatic,Gasoline,2,19615,15273,160
FIAT,500X Trekking AWD,2016,Automatic,Gasoline,4,8999,62502,180
FIAT,500X Trekking Plus,2016,Automatic,Gasoline,4,8999,42371,180
FIAT,500L Pop,2017,Automatic,Gasoline,4,10999,34894,160
FIAT,500 Pop,2012,Automatic,Gasoline,2,3950,74999,101
FIAT,500 Sport,2015,Manual,Gasoline,2,6500,43187,101
FIAT,500 Sport,2015,Automatic,Gasoline,2,6995,39643,101
FIAT,500 Pop Hatchback FWD,2017,Automatic,Gasoline,2,8500,40695,101
FIAT,500 Lounge Convertible,2012,Automatic,Gasoline,2,6499,52894,101
FIAT,500X Trekking FWD,2018,Automatic,Gasoline,4,14995,36166,180
FIAT,124 Spider Classica,2018,Automatic,Gasoline,2,18000,25005,160
FIAT,500 Lounge,2012,Automatic,Gasoline,2,7900,24986,101
FIAT,124 Spider Classica,2018,Automatic,Gasoline,2,20297,9300,160
FIAT,500X Lounge FWD,2018,Automatic,Gasoline,4,15936,39578,180
FIAT,500L Easy,2014,Automatic,Gasoline,4,5495,67819,160
FIAT,500L Lounge,2015,Automatic,Gasoline,4,7999,62110,160
FIAT,124 Spider Classica,2020,Automatic,Gasoline,2,18999,4268,160
FIAT,500 Pop,2013,Automatic,Gasoline,2,4995,61957,101
FIAT,500X Pop AWD,2021,Automatic,Gasoline,4,18779,12428,177
FIAT,500L Trekking,2014,Manual,Gasoline,4,6495,51377,160
FIAT,500 Abarth,2015,Manual,Gasoline,2,9999,52139,160
FIAT,500 Sport,2015,Manual,Gasoline,2,5800,57852,101
FIAT,500 Pop Convertible,2013,Automatic,Gasoline,2,5499,72067,101
FIAT,500 Pop,2013,Automatic,Gasoline,2,3995,65012,101
FIAT,500X Sport AWD,2021,Automatic,Gasoline,4,21300,18787,177
FIAT,500 Sport,2013,Manual,Gasoline,2,4499,77069,101
FIAT,500 Sport,2012,Manual,Gasoline,2,6999,37817,101
FIAT,124 Spider Elaborazione Abarth,2019,Manual,Gasoline,2,21995,20765,164
FIAT,124 Spider Elaborazione Abarth,2019,Automatic,Gasoline,2,21988,30506,164
FIAT,500L Pop,2017,Automatic,Gasoline,4,10995,24480,160
FIAT,500 Pop,2013,Automatic,Gasoline,2,5499,66856,101
FIAT,500 Sport,2013,Automatic,Gasoline,2,6995,53987,101
FIAT,500 Sport,2012,Automatic,Gasoline,2,4495,68246,101
FIAT,124 Spider Lusso,2018,Automatic,Gasoline,2,19727,14188,160
FIAT,124 Spider Lusso,2019,Automatic,Gasoline,2,23528,7063,160
FIAT,500 Lounge Cabrio FWD,2017,Manual,Gasoline,2,12988,16502,101
FIAT,500X Pop AWD,2017,Automatic,Gasoline,4,12000,61665,180
FIAT,500 Sport,2012,Manual,Gasoline,2,4995,82176,101
FIAT,500 Sport,2015,Automatic,Gasoline,2,5450,72725,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,3595,97755,101
FIAT,500L Trekking,2014,Automatic,Gasoline,4,7999,47764,160
FIAT,500L Easy,2014,Manual,Gasoline,4,4999,57788,160
FIAT,500X Easy AWD,2016,Automatic,Gasoline,4,8991,57197,180
FIAT,124 Spider Abarth,2018,Manual,Gasoline,2,21995,12273,164
FIAT,500 Lounge,2013,Manual,Gasoline,2,5999,63439,101
FIAT,500X Trekking AWD,2020,Automatic,Gasoline,4,19487,11796,177
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,15975,24593,160
FIAT,500X Lounge AWD,2018,Automatic,Gasoline,4,20998,17802,180
FIAT,500L Trekking,2015,Automatic,Gasoline,4,6900,65656,160
FIAT,500X Trekking,2017,Automatic,Gasoline,4,11375,31824,180
FIAT,500L Lounge,2014,Automatic,Gasoline,4,4995,92566,160
FIAT,500L Lounge,2014,Automatic,Gasoline,4,5999,63581,160
FIAT,500 Lounge Convertible,2012,Automatic,Gasoline,2,9995,20201,101
FIAT,500 Lounge Convertible,2013,Automatic,Gasoline,2,6995,61332,101
FIAT,500L Trekking,2014,Automatic,Gasoline,4,6999,62137,160
FIAT,500 Turbo,2014,Manual,Gasoline,2,5990,64745,135
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,13998,21983,160
FIAT,500 Sport,2015,Automatic,Gasoline,2,5999,67625,101
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,14977,31011,160
FIAT,124 Spider Elaborazione Abarth RWD,2017,Automatic,Gasoline,2,19444,8773,164
FIAT,500 Pop,2012,Automatic,Gasoline,2,4995,68467,101
FIAT,500X Pop FWD,2018,Automatic,Gasoline,4,12500,37511,180
FIAT,500L Trekking,2014,Automatic,Gasoline,4,5300,92904,160
FIAT,500X Trekking AWD,2020,Automatic,Gasoline,4,17499,17296,177
FIAT,500L Pop,2014,Automatic,Gasoline,4,6998,27650,160
FIAT,500L Trekking,2014,Manual,Gasoline,4,7497,50826,160
FIAT,500X Pop AWD,2021,Automatic,Gasoline,4,15980,18749,177
FIAT,500X Easy,2016,Automatic,Gasoline,4,6290,66612,180
FIAT,500L Trekking,2014,Automatic,Gasoline,4,6999,61282,160
FIAT,500L Lounge,2014,Automatic,Gasoline,4,8995,36822,160
FIAT,500L Easy,2014,Automatic,Gasoline,4,4989,71435,160
FIAT,500 Lounge,2013,Automatic,Gasoline,2,6995,56283,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,7500,35910,101
FIAT,500 Pop,2013,Manual,Gasoline,2,5540,67559,101
FIAT,500 Pop Cabrio FWD,2017,Automatic,Gasoline,2,11499,25199,101
FIAT,500 Pop,2013,Manual,Gasoline,2,6998,43173,101
FIAT,500L Lounge,2014,Automatic,Gasoline,4,7995,38339,160
FIAT,500 Pop,2015,Automatic,Gasoline,2,6495,46552,101
FIAT,500X Sport AWD,2021,Automatic,Gasoline,4,18950,10607,177
FIAT,500 Sport,2012,Manual,Gasoline,2,6400,59035,101
FIAT,500 Pop Convertible,2014,Automatic,Gasoline,2,6990,54408,101
FIAT,500X Lounge,2016,Automatic,Gasoline,4,8990,60285,180
FIAT,500 Sport,2012,Automatic,Gasoline,2,4995,69116,101
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,13200,64296,160
FIAT,500 Pop,2013,Manual,Gasoline,2,4995,70215,101
FIAT,500 Turbo,2013,Manual,Gasoline,2,5900,64001,135
FIAT,500 Sport,2014,Automatic,Gasoline,2,6995,48778,101
FIAT,500L Trekking,2015,Automatic,Gasoline,4,7490,65893,160
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,13599,29416,160
FIAT,500 Sport,2012,Manual,Gasoline,2,5995,46303,101
FIAT,500 Pop,2012,Automatic,Gasoline,2,3420,69665,101
FIAT,500 Sport,2012,Automatic,Gasoline,2,4995,53903,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,7950,35488,101
FIAT,500 Lounge,2015,Manual,Gasoline,2,10695,31595,101
FIAT,500 Sport,2014,Automatic,Gasoline,2,6490,52057,101
FIAT,500X Pop AWD,2017,Automatic,Gasoline,4,15238,30997,180
FIAT,500L Trekking,2014,Manual,Gasoline,4,6498,51488,160
FIAT,500X Trekking AWD,2020,Automatic,Gasoline,4,20653,25001,177
FIAT,500X Trekking AWD,2016,Automatic,Gasoline,4,8300,71539,180
FIAT,124 Spider Elaborazione Abarth,2019,Automatic,Gasoline,2,19998,16284,164
FIAT,124 Spider Elaborazione Abarth RWD,2017,Automatic,Gasoline,2,19900,17725,164
FIAT,500 Pop,2013,Automatic,Gasoline,2,5995,65002,101
FIAT,500 Turbo,2013,Manual,Gasoline,2,6995,52185,135
FIAT,500 Abarth,2012,Manual,Gasoline,2,5992,90127,160
FIAT,500 Pop,2015,Manual,Gasoline,2,6295,41857,101
FIAT,500 Sport,2012,Automatic,Gasoline,2,6000,59745,101
FIAT,500L Trekking,2014,Manual,Gasoline,4,8500,26098,160
FIAT,500 Lounge Convertible,2012,Automatic,Gasoline,2,6495,52530,101
FIAT,500 Sport,2012,Automatic,Gasoline,2,6500,45867,101
FIAT,500X Trekking,2016,Automatic,Gasoline,4,8500,71891,180
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,13999,26806,160
